OBJECTID *,Stop Number,Latitude,Longitude,Type,Lights,Trash Can Orig,Trash Can,Color,GlobalID *,Stop_Name
10,264,41.662481,-91.54372,Shelter,No,No,Trash Can Not Available,#0073e6,{CBC127E4-F694-4B78-AD3F-C18450F9F941},Pappajohn Biomedical Discovery Building
154,7400,41.662323,-91.534534,Stop,No,No,Trash Can Not Available,#0073e6,{336A03BB-1E21-4AE1-93D9-DE1C28550885},Clinton St & Jefferson St
147,7330,41.6575,-91.4713,Stop,No,No,Trash Can Not Available,#0073e6,{96905050-7EDE-40F1-9BAD-238EB18EACA5},Court St  & Camden Rd
262,8120,41.652331,-91.548663,Stop,No,No,Trash Can Not Available,#0073e6,{CA4C168D-5A0B-4E94-B1B0-35333354F991},Woodside Place & Greenwood Dr
320,8350,41.64604,-91.578698,Stop,No,No,Trash Can Not Available,#0073e6,{909F2DC8-721A-4D99-AD8E-32DC982BEAE7},Rohret Rd & Ranier Dr
103,7227,41.649595,-91.503326,Shelter,No,No,Trash Can Not Available,#0073e6,{61C9EC15-233F-4554-8D27-EFF935F0D31E},Muscatine Ave & 2nd Ave - Walgreens Inbound
280,8215,41.656733,-91.506009,Stop,No,No,Trash Can Not Available,#0073e6,{3117CE2E-10C4-4BC5-8250-B789028A1116},Court St @ 4th Ave
91,7212,41.656928,-91.491752,Stop,No,No,Trash Can Not Available,#0073e6,{6CC2C8C8-DF55-4392-8B44-EC068BB2FDA1},Court St @ Westminster St
110,7241,41.657759,-91.527415,Stop,No,No,Trash Can Not Available,#0073e6,{03E3BEA7-6432-433F-BFBF-85B1EE040CF0},Burlington St & Johnson St
130,7267,41.649717,-91.491036,Shelter,Solar,Yes,Trash Can Is Available,#e60073,{6BB31FC3-395F-4F3E-94F5-89EB04D6E7E8},Muscatine Ave @ Autumn Park Apartments
209,8001,41.657854,-91.541675,Stop,No,No,Trash Can Not Available,#0073e6,{35E63346-F65D-4D54-BB87-B03FDBA36872},Riverside Dr and Burlington St @ Hydraulics Lab
284,8228,41.651772,-91.574135,Shelter,Solar,No,Trash Can Not Available,#0073e6,{AB677019-3013-4CAD-A572-BBC5903AA3EC},Mormon Trek Blvd & Cameron Way - Walden Plaza
75,7121,41.645289,-91.510418,Shelter,Solar,No,Trash Can Not Available,#0073e6,{4ADB69E9-880B-47ED-9C15-AA801A532380},Kirkwood Community College to Downtown
219,8023,41.6317,-91.5385,Stop,No,No,Trash Can Not Available,#0073e6,{55F9DDE9-8D8C-495E-87C4-693605E2E2D3},Thatcher / Baculus Trailer Park
